name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
Ballet Nacional de España / Estampas Flamencas,Fundación Cante de las Minas,2024-08-03T22:00:00Z,2024-01-25T08:00:00Z,2024-08-03T21:00:00Z,25.0,70.0,World,Flamenco,Ballet Nacional De Espana,Dance,Dance,Undefined,Undefined,Antiguo Mercado Público,La Unión,Murcia,0,0,0,0,0,0,SALA,0
Carlos Piñana y la Orquesta Sinfónica de la Región de Murcia / Rubato,Fundación Cante de las Minas,2024-08-04T22:00:00Z,2024-01-25T08:00:00Z,2024-08-04T21:00:00Z,15.0,30.0,World,Flamenco,Carlos Pinana,Pop,Adult Contemporary,Undefined,Undefined,Antiguo Mercado Público,La Unión,Murcia,0,0,0,0,0,0,SALA,0
Tom Jones,"Acordes Mayores, A.I.E",2024-08-04T20:30:00Z,2023-12-29T11:00:00Z,2024-08-04T20:30:00Z,60.0,100.0,Blues,Jazz Blues,Tom Jones,Rock,Pop,Undefined,Undefined,Recinto de Conciertos del Ferial,Almería,Almería,9,937541,65,1100000,0,0,SALA,2
Eduardo Guerrero “SO-LA-NA Las Minas Flamenco”,Fundación Cante de las Minas,2024-08-05T22:00:00Z,2024-01-25T08:00:00Z,2024-08-05T21:00:00Z,20.0,40.0,World,Flamenco,SO-LA-NA,World,Flamenco,Group,Group,Antiguo Mercado Público,La Unión,Murcia,0,0,0,0,0,0,SALA,0
Pitingo / Soulería de ida y vuelta,Fundación Cante de las Minas,2024-08-06T22:00:00Z,2024-01-25T08:00:00Z,2024-08-06T21:00:00Z,25.0,70.0,World,Flamenco,Pitingo,R&B,Soul,Undefined,Undefined,Antiguo Mercado Público,La Unión,Murcia,8,135916,49,0,5690,0,SALA,3
Vanesa Martín,"Tickex Experience, S.L.",2024-08-20T20:00:00Z,2024-02-01T11:00:00Z,2024-08-18T21:59:00Z,31.25,71.43,Undefined,Undefined,Vanesa Martín,Pop,Pop,Individual,Singer/Vocalist,Auditorio Starlite,Marbella,Málaga,8,1118620,63,0,882000,0,SALA,4
Ana Mena,"Tickex Experience, S.L.",2024-08-23T20:00:00Z,2023-11-28T20:05:00Z,2024-08-21T21:59:00Z,30.0,75.0,Undefined,Undefined,Ana Mena,Pop,Pop,Undefined,Undefined,Auditorio Starlite,Marbella,Málaga,0,0,0,0,0,0,SALA,0
Hombres G,"Tickex Experience, S.L.",2024-08-31T20:00:00Z,2024-01-16T11:00:00Z,2024-08-29T21:59:00Z,39.29,116.07,Undefined,Undefined,Hombres G,Pop,Pop Rock,Group,Band,Auditorio Starlite,Marbella,Málaga,9,4173428,71,0,243000,0,SALA,5
Cultura Profética,"La Sordera, S.L.",2024-10-29T19:30:00Z,2023-07-13T12:00:00Z,2024-10-29T22:00:00Z,43.0,43.0,Other,Other,Cultura Profética,Reggae,Reggae,Undefined,Undefined,WiZink Center,Madrid,Madrid,5,0,0,0,0,0,ESTADIO S,0
Cultura Profética,"La Sordera, S.L.",2024-10-31T19:30:00Z,2023-07-13T12:00:00Z,2024-10-31T22:00:00Z,44.0,44.0,Other,Other,Cultura Profética,Reggae,Reggae,Undefined,Undefined,Sant Jordi Club,Barcelona,Barcelona,5,0,0,0,0,0,TEATRO,0
The Music of Hans Zimmer & More,Star Entertainment GmbH,2025-02-15T19:00:00Z,2023-12-07T13:00:00Z,2025-02-15T22:00:00Z,36.6,65.7,Other,Other,The Music of Hans Zimmer & More,Classical,Classical/Vocal,Event Style,Concert,Audit. de Zaragoza - Sala Mozart,Zaragoza,Saragossa,0,0,0,0,0,0,SALA,0
The Magical Music of Harry Potter,Star Entertainment GmbH,2025-02-15T15:00:00Z,2023-12-07T13:00:00Z,2025-02-15T22:00:00Z,36.6,65.7,Other,Other,The Magical Music of Harry Potter - Live in Concert,Classical,Classical/Vocal,Event Style,Touring Show/Production,Audit. de Zaragoza - Sala Mozart,Zaragoza,Saragossa,0,0,0,0,0,0,SALA,0
The Magical Music of Harry Potter,Star Entertainment GmbH,2025-02-28T15:00:00Z,2023-12-05T15:30:00Z,2025-02-28T15:00:00Z,36.6,75.4,Other,Other,The Magical Music of Harry Potter - Live in Concert,Classical,Classical/Vocal,Event Style,Touring Show/Production,Filarmónica de Bilbao,Bilbao,Biscay,0,0,0,0,0,0,,0
La Música de Hans Zimmer y Otros,Star Entertainment GmbH,2025-02-28T19:00:00Z,2023-12-05T17:30:00Z,2025-02-28T19:00:00Z,36.6,75.4,Other,Other,The Music of Hans Zimmer & More,Classical,Classical/Vocal,Event Style,Concert,Filarmónica de Bilbao,Bilbao,Biscay,0,0,0,0,0,0,,0
Nothing But Thieves,Live Nation España S.A.U.,2024-03-01T20:00:00Z,2023-06-16T08:00:00Z,2024-02-29T11:15:00Z,30.0,30.0,Rock,Pop,Nothing But Thieves,Rock,Pop,Undefined,Undefined,La Riviera,Madrid,Madrid,9,1142022,70,800200,0,0,TEATRO,3
Mother Mother,Live Nation España S.A.U.,2024-03-16T20:00:00Z,2023-09-22T07:00:00Z,2024-03-16T20:00:00Z,25.0,80.0,Rock,Pop,Mother Mother,Rock,Pop,Group,Band,Palacio Vistalegre,Madrid,Madrid,10,3900616,73,1300000,0,0,ESTADIO S,3
Manolo García,"Concert Tour Gestiones, S.L.",2024-04-27T19:30:00Z,2024-02-22T12:00:00Z,2024-04-27T19:30:00Z,60.0,60.0,Rock,Pop,Manolo Garcia,Rock,Pop,Undefined,Undefined,Auditorio La Alameda,Jaén,Jaén,5,617563,57,0,199000,0,SALA,4
Taylor Swift | The Eras Tour,"ROCK TOUR EVENTOS, SL",2024-05-29T18:00:00Z,2024-02-28T14:00:00Z,2024-05-29T18:00:00Z,65.0,200.0,Rock,Pop,Taylor Swift,Pop,Pop,Undefined,Undefined,Estadio Santiago Bernabéu,Madrid,Madrid,10,106096174,100,4600000,0,0,ESTADIO M,1
Camilo,"Versos Musicales en la Noche, A.I.E",2024-06-08T20:30:00Z,2024-02-23T18:20:00Z,2024-06-08T20:00:00Z,40.0,90.0,Rock,Pop,Camilo,Latin,Latin,Individual,Musician,Coliseum,A Coruña,La Corunna,0,0,0,0,0,0,ESTADIO S,0
Miguel Ríos cumple 80 años. Granada All Stars,"Producciones y Exhibiciones Artísticas, SLU",2024-06-08T20:00:00Z,2024-02-22T12:00:00Z,2024-06-08T19:30:00Z,35.0,60.0,Rock,Pop,Miguel Rios,World,Latin,Undefined,Undefined,Plaza de Toros de Granada,Granada,Granada,8,270057,54,0,39200,0,ESTADIO S,5
MANÁ,"Mediterranea Concerts, S.L.",2024-06-15T19:30:00Z,2023-12-01T11:00:00Z,2024-06-15T19:30:00Z,85.0,260.0,Rock,Pop,MANÁ,World,Latin,Undefined,Undefined,Plaza de Toros de Murcia,Murcia,Murcia,10,10608200,77,602100,0,0,ESTADIO S,6
